,Gender,Ethnicity,Parents_Education,Lunch,Course,Total_Score,Average_Score
105,female,group C,2,standard,Not completed,197,65.66666666666667
106,female,group D,5,standard,Not completed,287,95.66666666666667
107,male,group E,3,standard,completed,193,64.33333333333333
108,female,group B,3,free/reduced,Not completed,198,66.0
109,female,group B,1,standard,Not completed,206,68.66666666666667
110,female,group D,3,free/reduced,completed,264,88.0
111,male,group C,1,standard,Not completed,166,55.333333333333336
112,male,group A,3,standard,Not completed,154,51.333333333333336
113,female,group D,2,standard,Not completed,163,54.333333333333336
114,female,group E,4,standard,completed,299,99.66666666666667
115,male,group C,1,standard,Not completed,235,78.33333333333333
116,female,group B,4,free/reduced,Not completed,242,80.66666666666667
117,female,group D,4,standard,Not completed,239,79.66666666666667
118,female,group D,1,standard,Not completed,175,58.333333333333336
119,female,group C,2,standard,Not completed,189,63.0
120,female,group C,4,standard,completed,260,86.66666666666667
121,male,group B,3,standard,completed,272,90.66666666666667
122,female,group C,2,standard,completed,274,91.33333333333333
123,male,group D,1,free/reduced,Not completed,176,58.666666666666664
124,male,group E,2,standard,Not completed,236,78.66666666666667
125,female,group B,1,standard,Not completed,268,89.33333333333333
126,male,group B,1,standard,Not completed,207,69.0
127,male,group D,2,standard,completed,216,72.0
128,male,group D,5,standard,Not completed,238,79.33333333333333
129,female,group A,4,standard,Not completed,151,50.333333333333336
130,male,group D,5,standard,Not completed,255,85.0
131,male,group C,1,free/reduced,completed,130,43.333333333333336
132,male,group E,2,free/reduced,completed,231,77.0
133,female,group C,2,standard,completed,240,80.0
134,male,group D,4,free/reduced,completed,228,76.0
135,male,group C,4,standard,Not completed,161,53.666666666666664
136,male,group B,1,standard,completed,146,48.666666666666664
137,male,group E,1,standard,Not completed,181,60.333333333333336
138,female,group C,3,standard,Not completed,192,64.0
139,male,group D,2,standard,completed,201,67.0
140,female,group D,1,standard,Not completed,219,73.0
141,female,group C,2,free/reduced,Not completed,185,61.666666666666664
142,female,group E,2,free/reduced,completed,151,50.333333333333336
143,male,group A,1,standard,Not completed,147,49.0
144,male,group D,2,standard,Not completed,239,79.66666666666667
145,female,group C,2,free/reduced,Not completed,94,31.333333333333332
146,male,group B,1,standard,Not completed,247,82.33333333333333
147,male,group C,3,free/reduced,Not completed,207,69.0
148,female,group D,4,standard,completed,224,74.66666666666667
149,male,group E,3,free/reduced,completed,293,97.66666666666667
150,male,group A,1,standard,completed,198,66.0
151,male,group A,4,standard,Not completed,212,70.66666666666667
152,female,group B,3,standard,completed,195,65.0
153,male,group D,4,standard,Not completed,150,50.0
154,male,group D,1,standard,Not completed,190,63.333333333333336
155,female,group C,2,standard,completed,247,82.33333333333333
156,female,group E,1,free/reduced,completed,218,72.66666666666667
157,male,group B,2,free/reduced,Not completed,180,60.0
158,female,group B,3,standard,completed,234,78.0
159,male,group D,3,free/reduced,Not completed,192,64.0
160,male,group B,3,free/reduced,completed,234,78.0
161,female,group E,2,free/reduced,completed,248,82.66666666666667
162,male,group B,5,free/reduced,Not completed,154,51.333333333333336
163,male,group C,1,standard,Not completed,154,51.333333333333336
164,female,group E,5,standard,Not completed,264,88.0
165,female,group C,4,standard,completed,296,98.66666666666667
166,male,group C,1,free/reduced,completed,155,51.666666666666664
167,female,group B,5,free/reduced,completed,212,70.66666666666667
168,female,group B,1,standard,completed,229,76.33333333333333
169,female,group C,2,free/reduced,completed,212,70.66666666666667
170,male,group A,1,standard,completed,219,73.0
171,male,group E,1,standard,Not completed,260,86.66666666666667
172,female,group D,2,standard,Not completed,246,82.0
173,female,group C,3,standard,Not completed,200,66.66666666666667
174,female,group C,4,free/reduced,completed,148,49.333333333333336
175,female,group C,5,standard,completed,259,86.33333333333333
176,female,group B,1,free/reduced,completed,158,52.666666666666664
177,female,group C,3,standard,completed,225,75.0
178,female,group B,5,free/reduced,completed,184,61.333333333333336
179,female,group D,1,standard,completed,297,99.0
180,male,group C,5,free/reduced,completed,205,68.33333333333333
181,female,group C,2,free/reduced,Not completed,176,58.666666666666664
182,female,group E,1,standard,Not completed,147,49.0
183,female,group D,3,standard,Not completed,204,68.0
184,male,group C,1,free/reduced,completed,146,48.666666666666664
185,male,group C,3,free/reduced,completed,197,65.66666666666667
186,male,group E,1,standard,Not completed,221,73.66666666666667
187,male,group D,1,standard,completed,196,65.33333333333333
188,male,group B,1,free/reduced,Not completed,145,48.333333333333336
189,female,group C,4,standard,Not completed,252,84.0
190,female,group E,3,standard,Not completed,200,66.66666666666667
191,male,group D,2,standard,completed,238,79.33333333333333
192,female,group B,1,standard,Not completed,192,64.0
193,male,group D,2,standard,completed,201,67.0
194,female,group C,5,standard,completed,238,79.33333333333333
195,male,group D,3,standard,Not completed,168,56.0
196,male,group C,1,free/reduced,completed,193,64.33333333333333
197,male,group E,1,free/reduced,Not completed,162,54.0
198,female,group B,2,free/reduced,Not completed,153,51.0
199,female,group B,4,free/reduced,Not completed,233,77.66666666666667
200,female,group C,3,standard,completed,237,79.0
201,female,group D,2,free/reduced,Not completed,223,74.33333333333333
202,male,group C,3,standard,Not completed,215,71.66666666666667
203,female,group B,3,standard,Not completed,194,64.66666666666667
204,male,group C,2,standard,Not completed,142,47.333333333333336
205,male,group D,1,standard,completed,223,74.33333333333333
206,male,group E,4,standard,Not completed,206,68.66666666666667
207,male,group E,1,standard,completed,237,79.0
208,female,group B,2,free/reduced,Not completed,231,77.0
209,female,group B,2,free/reduced,Not completed,185,61.666666666666664
210,male,group D,1,free/reduced,completed,238,79.33333333333333
211,male,group C,2,free/reduced,Not completed,90,30.0
212,female,group C,1,free/reduced,Not completed,164,54.666666666666664
213,male,group C,3,free/reduced,completed,167,55.666666666666664
214,male,group E,1,standard,completed,259,86.33333333333333
215,male,group B,1,standard,completed,242,80.66666666666667
216,female,group E,3,free/reduced,completed,257,85.66666666666667
217,female,group C,1,free/reduced,Not completed,115,38.333333333333336
218,male,group B,1,free/reduced,Not completed,213,71.0
219,male,group B,1,standard,completed,173,57.666666666666664
220,female,group D,1,standard,completed,198,66.0
221,male,group B,3,standard,Not completed,245,81.66666666666667
222,female,group C,1,free/reduced,Not completed,182,60.666666666666664
223,male,group D,1,standard,Not completed,241,80.33333333333333
224,female,group B,3,standard,completed,191,63.666666666666664
225,female,group E,5,free/reduced,Not completed,155,51.666666666666664
226,female,group C,2,standard,Not completed,215,71.66666666666667
227,male,group D,1,standard,Not completed,161,53.666666666666664
228,male,group A,1,free/reduced,Not completed,204,68.0
229,female,group C,2,standard,completed,277,92.33333333333333
230,male,group D,2,standard,Not completed,206,68.66666666666667
231,male,group C,3,standard,Not completed,131,43.666666666666664
232,female,group B,4,standard,Not completed,236,78.66666666666667
233,male,group E,1,standard,Not completed,257,85.66666666666667
234,male,group C,4,standard,completed,249,83.0
235,male,group D,3,standard,Not completed,232,77.33333333333333
236,male,group D,4,free/reduced,Not completed,196,65.33333333333333
237,female,group D,1,standard,completed,198,66.0
238,male,group B,2,standard,Not completed,157,52.333333333333336
239,male,group C,3,standard,Not completed,244,81.33333333333333
240,male,group D,1,free/reduced,completed,207,69.0
241,female,group E,4,standard,Not completed,246,82.0
242,female,group D,1,standard,Not completed,163,54.333333333333336
243,male,group E,2,standard,Not completed,153,51.0
244,male,group D,1,standard,Not completed,218,72.66666666666667
245,male,group C,3,standard,Not completed,232,77.33333333333333
246,male,group E,3,standard,Not completed,239,79.66666666666667
247,female,group B,1,standard,completed,196,65.33333333333333
248,female,group B,1,standard,Not completed,191,63.666666666666664
249,male,group C,1,standard,Not completed,181,60.333333333333336
250,male,group A,1,standard,completed,145,48.333333333333336
251,female,group D,2,free/reduced,Not completed,237,79.0
252,female,group B,1,standard,completed,200,66.66666666666667
253,male,group D,5,standard,Not completed,232,77.33333333333333
254,male,group D,1,standard,Not completed,158,52.666666666666664
255,female,group E,2,standard,Not completed,205,68.33333333333333
256,female,group C,3,free/reduced,Not completed,205,68.33333333333333
257,male,group C,3,standard,completed,232,77.33333333333333
258,female,group B,2,standard,Not completed,223,74.33333333333333
259,female,group C,5,free/reduced,completed,227,75.66666666666667
260,female,group C,1,free/reduced,completed,220,73.33333333333333
261,male,group C,2,standard,completed,236,78.66666666666667
262,female,group C,1,free/reduced,Not completed,145,48.333333333333336
263,female,group E,1,standard,Not completed,282,94.0
264,male,group D,1,standard,Not completed,217,72.33333333333333
265,male,group D,1,free/reduced,Not completed,142,47.333333333333336
266,female,group C,4,standard,Not completed,219,73.0
267,female,group D,1,standard,Not completed,218,72.66666666666667
268,female,group D,3,standard,completed,275,91.66666666666667
269,female,group E,2,free/reduced,Not completed,217,72.33333333333333
270,male,group C,4,standard,Not completed,193,64.33333333333333
271,male,group C,2,standard,Not completed,149,49.666666666666664
272,female,group D,3,free/reduced,Not completed,158,52.666666666666664
273,female,group D,2,standard,Not completed,206,68.66666666666667
274,male,group B,2,standard,completed,249,83.0
275,male,group C,4,standard,Not completed,234,78.0
276,female,group C,1,standard,completed,270,90.0
277,female,group E,1,standard,completed,197,65.66666666666667
278,female,group C,1,free/reduced,Not completed,231,77.0
279,male,group B,4,free/reduced,Not completed,186,62.0
280,male,group D,1,standard,Not completed,147,49.0
281,male,group D,1,standard,Not completed,139,46.333333333333336
282,female,group D,4,free/reduced,Not completed,236,78.66666666666667
283,female,group D,2,free/reduced,completed,226,75.33333333333333
284,female,group B,1,standard,Not completed,129,43.0
285,male,group B,3,standard,completed,245,81.66666666666667
286,male,group E,3,standard,completed,267,89.0
287,female,group B,1,standard,Not completed,238,79.33333333333333
288,male,group B,4,free/reduced,Not completed,239,79.66666666666667
289,male,group E,1,standard,completed,230,76.66666666666667
290,male,group C,3,standard,Not completed,214,71.33333333333333
291,male,group D,1,standard,Not completed,229,76.33333333333333
292,male,group C,1,standard,completed,180,60.0
293,female,group E,4,standard,Not completed,213,71.0
294,male,group D,1,free/reduced,completed,235,78.33333333333333
295,male,group B,3,free/reduced,Not completed,189,63.0
296,male,group A,1,standard,completed,130,43.333333333333336
297,male,group E,3,standard,completed,213,71.0
298,male,group C,1,free/reduced,completed,136,45.333333333333336
299,male,group D,3,free/reduced,Not completed,252,84.0
300,male,group A,2,free/reduced,completed,240,80.0
301,male,group D,1,free/reduced,Not completed,162,54.0
302,female,group C,3,standard,completed,232,77.33333333333333
303,male,group B,3,standard,Not completed,220,73.33333333333333
304,female,group C,3,standard,completed,232,77.33333333333333
305,male,group A,2,standard,Not completed,205,68.33333333333333
306,male,group E,2,standard,completed,267,89.0
307,male,group C,1,standard,Not completed,147,49.0
308,female,group B,3,free/reduced,Not completed,191,63.666666666666664
309,female,group D,1,free/reduced,Not completed,158,52.666666666666664
310,female,group B,3,standard,Not completed,229,76.33333333333333
311,male,group B,4,standard,Not completed,183,61.0
312,male,group D,4,standard,completed,196,65.33333333333333
313,female,group C,3,free/reduced,completed,204,68.0
314,female,group C,4,standard,completed,198,66.0
315,male,group C,1,standard,Not completed,202,67.33333333333333
316,female,group D,5,standard,completed,250,83.33333333333333
317,male,group C,3,standard,Not completed,233,77.66666666666667
318,male,group B,4,standard,Not completed,203,67.66666666666667
319,female,group D,3,free/reduced,Not completed,184,61.333333333333336
320,female,group C,1,free/reduced,completed,230,76.66666666666667
321,female,group E,1,standard,Not completed,240,80.0
322,female,group C,2,standard,Not completed,232,77.33333333333333
323,female,group C,1,free/reduced,Not completed,149,49.666666666666664
324,female,group C,1,free/reduced,Not completed,130,43.333333333333336
325,female,group C,2,standard,Not completed,266,88.66666666666667
326,male,group C,2,standard,Not completed,184,61.333333333333336
327,male,group A,2,free/reduced,Not completed,70,23.333333333333332
328,male,group C,3,standard,completed,234,78.0
329,female,group B,1,standard,Not completed,147,49.0
330,male,group C,1,standard,Not completed,192,64.0
331,male,group C,3,standard,Not completed,119,39.666666666666664
332,male,group E,3,standard,completed,171,57.0
333,male,group B,3,standard,Not completed,249,83.0
334,female,group C,4,standard,Not completed,271,90.33333333333333
335,female,group B,2,free/reduced,Not completed,195,65.0
336,male,group D,1,standard,completed,215,71.66666666666667
337,male,group C,3,standard,Not completed,143,47.666666666666664
338,female,group B,1,free/reduced,Not completed,89,29.666666666666668
339,female,group D,1,free/reduced,completed,150,50.0
340,male,group C,1,free/reduced,Not completed,171,57.0
341,female,group C,1,standard,Not completed,197,65.66666666666667
342,female,group B,1,standard,completed,219,73.0
343,male,group D,3,standard,completed,206,68.66666666666667
344,male,group D,2,standard,Not completed,219,73.0
345,female,group C,1,standard,Not completed,227,75.66666666666667
346,male,group B,2,standard,Not completed,180,60.0
347,female,group C,4,standard,completed,266,88.66666666666667
348,male,group D,1,free/reduced,Not completed,215,71.66666666666667
349,male,group E,3,standard,Not completed,237,79.0
350,female,group B,4,standard,Not completed,186,62.0
351,male,group E,2,standard,Not completed,175,58.333333333333336
352,female,group C,2,standard,completed,221,73.66666666666667
353,female,group C,3,standard,Not completed,161,53.666666666666664
354,female,group C,2,standard,Not completed,200,66.66666666666667
355,female,group B,4,standard,Not completed,203,67.66666666666667
356,male,group A,3,standard,Not completed,185,61.666666666666664
357,female,group C,2,free/reduced,completed,177,59.0
358,male,group D,2,free/reduced,Not completed,182,60.666666666666664
359,female,group D,2,standard,Not completed,259,86.33333333333333
360,female,group B,1,standard,Not completed,179,59.666666666666664
361,male,group B,1,standard,completed,247,82.33333333333333
362,female,group C,2,standard,Not completed,168,56.0
363,female,group D,1,free/reduced,Not completed,93,31.0
364,male,group C,2,standard,Not completed,177,59.0
365,male,group A,4,free/reduced,completed,167,55.666666666666664
366,male,group C,1,standard,completed,180,60.0
367,male,group C,4,free/reduced,Not completed,188,62.666666666666664
368,female,group A,1,free/reduced,Not completed,166,55.333333333333336
369,female,group D,1,standard,Not completed,242,80.66666666666667
370,male,group E,2,standard,Not completed,232,77.33333333333333
371,female,group C,2,free/reduced,completed,188,62.666666666666664
372,male,group D,1,standard,Not completed,220,73.33333333333333
373,female,group D,2,standard,completed,275,91.66666666666667
374,female,group D,4,standard,Not completed,202,67.33333333333333
375,male,group E,3,free/reduced,Not completed,130,43.333333333333336
376,female,group D,1,standard,Not completed,252,84.0
377,female,group D,5,free/reduced,completed,280,93.33333333333333
378,female,group A,1,standard,Not completed,231,77.0
379,male,group A,4,standard,Not completed,192,64.0
380,female,group B,3,standard,Not completed,249,83.0
381,male,group C,3,standard,completed,282,94.0
382,male,group C,5,free/reduced,Not completed,231,77.0
383,female,group E,1,free/reduced,Not completed,132,44.0
384,female,group A,1,free/reduced,Not completed,124,41.333333333333336
385,female,group E,2,standard,Not completed,218,72.66666666666667
386,female,group E,4,standard,Not completed,207,69.0
387,female,group C,3,free/reduced,Not completed,202,67.33333333333333
388,female,group D,1,standard,Not completed,190,63.333333333333336
389,male,group D,5,standard,Not completed,218,72.66666666666667
390,male,group E,1,free/reduced,completed,199,66.33333333333333
391,female,group D,2,standard,Not completed,222,74.0
392,male,group E,2,standard,Not completed,210,70.0
393,male,group C,3,standard,completed,167,55.666666666666664
394,female,group C,1,standard,completed,216,72.0
395,male,group A,1,free/reduced,Not completed,134,44.666666666666664
396,female,group B,1,free/reduced,Not completed,180,60.0
397,female,group C,3,standard,Not completed,269,89.66666666666667
398,male,group B,1,standard,Not completed,194,64.66666666666667
399,male,group D,1,standard,Not completed,173,57.666666666666664
400,female,group C,1,standard,completed,180,60.0
401,male,group A,2,standard,Not completed,139,46.333333333333336
402,female,group A,2,free/reduced,Not completed,169,56.333333333333336
403,female,group D,1,standard,completed,287,95.66666666666667
404,female,group C,1,standard,Not completed,175,58.333333333333336
405,female,group C,1,standard,Not completed,204,68.0
406,male,group B,3,standard,completed,193,64.33333333333333
407,female,group B,3,standard,Not completed,239,79.66666666666667
408,female,group D,1,free/reduced,completed,165,55.0
409,male,group D,3,standard,completed,256,85.33333333333333
410,female,group D,5,standard,completed,215,71.66666666666667
411,male,group E,2,standard,completed,245,81.66666666666667
412,male,group D,3,standard,Not completed,197,65.66666666666667
413,male,group B,1,standard,completed,197,65.66666666666667
414,female,group C,4,free/reduced,completed,202,67.33333333333333
415,male,group E,1,standard,Not completed,226,75.33333333333333
416,male,group C,4,standard,completed,213,71.0
417,male,group C,3,standard,Not completed,214,71.33333333333333
418,male,group D,2,standard,Not completed,189,63.0
419,male,group E,1,free/reduced,completed,167,55.666666666666664
420,female,group C,3,free/reduced,completed,268,89.33333333333333
421,female,group D,1,standard,completed,179,59.666666666666664
422,female,group D,5,free/reduced,completed,172,57.333333333333336
423,female,group A,1,standard,completed,224,74.66666666666667
424,male,group B,2,free/reduced,Not completed,114,38.0
425,female,group C,2,free/reduced,Not completed,191,63.666666666666664
426,male,group C,4,standard,Not completed,255,85.0
427,male,group C,1,free/reduced,Not completed,205,68.33333333333333
428,male,group A,1,free/reduced,Not completed,177,59.0
429,male,group C,1,free/reduced,Not completed,185,61.666666666666664
430,male,group C,3,free/reduced,Not completed,189,63.0
431,female,group C,1,standard,Not completed,203,67.66666666666667
432,male,group C,1,standard,Not completed,172,57.333333333333336
433,female,group A,1,free/reduced,Not completed,156,52.0
434,male,group C,1,standard,Not completed,205,68.33333333333333
435,male,group C,2,free/reduced,completed,151,50.333333333333336
436,male,group D,3,standard,Not completed,207,69.0
437,male,group D,3,free/reduced,Not completed,214,71.33333333333333
438,male,group C,1,standard,Not completed,177,59.0
439,male,group D,1,standard,completed,259,86.33333333333333
440,female,group C,2,standard,completed,227,75.66666666666667
441,female,group D,1,standard,Not completed,239,79.66666666666667
442,female,group A,1,free/reduced,Not completed,201,67.0
443,female,group B,3,standard,Not completed,232,77.33333333333333
444,male,group A,1,free/reduced,Not completed,234,78.0
445,female,group C,1,standard,completed,218,72.66666666666667
446,male,group D,2,free/reduced,Not completed,195,65.0
447,male,group C,1,standard,completed,247,82.33333333333333
448,male,group B,1,standard,Not completed,135,45.0
449,male,group B,3,standard,Not completed,226,75.33333333333333
450,female,group C,2,free/reduced,completed,234,78.0
451,female,group E,2,standard,Not completed,289,96.33333333333333
452,female,group C,3,free/reduced,Not completed,216,72.0
453,male,group C,2,free/reduced,Not completed,172,57.333333333333336
454,female,group C,3,free/reduced,Not completed,176,58.666666666666664
455,male,group C,4,free/reduced,Not completed,140,46.666666666666664
456,female,group D,4,standard,Not completed,257,85.66666666666667
457,male,group D,3,free/reduced,Not completed,155,51.666666666666664
458,female,group E,4,standard,Not completed,300,100.0
459,male,group B,1,standard,completed,205,68.33333333333333
460,male,group C,4,free/reduced,Not completed,166,55.333333333333336
461,male,group B,2,free/reduced,Not completed,153,51.0
462,female,group E,2,standard,Not completed,217,72.33333333333333
463,female,group C,2,free/reduced,Not completed,258,86.0
464,male,group A,4,standard,completed,195,65.0
465,female,group C,2,standard,Not completed,262,87.33333333333333
466,female,group D,3,free/reduced,Not completed,95,31.666666666666668
467,male,group A,1,free/reduced,completed,204,68.0
468,female,group A,1,free/reduced,completed,250,83.33333333333333
469,male,group C,2,standard,Not completed,241,80.33333333333333
470,female,group C,3,standard,completed,258,86.0
471,female,group C,1,standard,Not completed,206,68.66666666666667
472,female,group C,3,standard,completed,238,79.33333333333333
473,female,group D,1,standard,Not completed,187,62.333333333333336
474,female,group B,3,standard,completed,271,90.33333333333333
475,female,group D,4,standard,completed,230,76.66666666666667
476,male,group E,4,standard,completed,204,68.0
477,male,group D,3,standard,Not completed,220,73.33333333333333
478,female,group D,5,standard,Not completed,189,63.0
479,male,group E,3,standard,Not completed,214,71.33333333333333
480,male,group B,1,standard,completed,212,70.66666666666667
481,female,group D,3,free/reduced,Not completed,167,55.666666666666664
482,male,group C,2,free/reduced,Not completed,197,65.66666666666667
483,male,group A,1,standard,Not completed,157,52.333333333333336
484,female,group B,3,standard,Not completed,155,51.666666666666664
485,male,group C,1,standard,Not completed,215,71.66666666666667
486,male,group D,2,free/reduced,Not completed,164,54.666666666666664
487,female,group C,3,free/reduced,Not completed,209,69.66666666666667
488,male,group B,1,standard,completed,174,58.0
489,male,group A,3,free/reduced,completed,243,81.0
490,female,group A,3,free/reduced,Not completed,226,75.33333333333333
491,female,group C,3,standard,Not completed,198,66.0
492,female,group C,2,standard,Not completed,256,85.33333333333333
493,female,group C,4,standard,Not completed,259,86.33333333333333
494,female,group B,1,standard,Not completed,186,62.0
495,male,group D,1,standard,completed,198,66.0
496,female,group C,2,standard,Not completed,154,51.333333333333336
497,female,group D,2,free/reduced,completed,213,71.0
498,female,group B,1,standard,Not completed,203,67.66666666666667
499,male,group E,2,standard,Not completed,219,73.0
500,female,group D,5,standard,Not completed,235,78.33333333333333
501,female,group B,3,standard,completed,273,91.0
502,male,group C,2,free/reduced,Not completed,178,59.333333333333336
503,female,group E,3,standard,completed,276,92.0
504,female,group D,5,free/reduced,Not completed,153,51.0
505,female,group B,1,standard,Not completed,244,81.33333333333333
506,male,group A,1,standard,Not completed,204,68.0
507,male,group B,4,free/reduced,Not completed,168,56.0
508,male,group C,5,standard,Not completed,234,78.0
509,female,group C,4,standard,Not completed,265,88.33333333333333
510,male,group D,2,standard,Not completed,220,73.33333333333333
511,male,group A,1,standard,Not completed,157,52.333333333333336
512,male,group D,1,free/reduced,Not completed,163,54.333333333333336
513,female,group B,1,standard,completed,177,59.0
514,female,group B,5,free/reduced,completed,268,89.33333333333333
515,female,group C,1,standard,completed,248,82.66666666666667
516,female,group D,2,standard,Not completed,247,82.33333333333333
517,female,group E,2,standard,completed,213,71.0
518,female,group D,1,standard,completed,222,74.0
519,female,group B,1,free/reduced,completed,224,74.66666666666667
520,male,group D,2,standard,Not completed,172,57.333333333333336
521,female,group C,3,standard,Not completed,261,87.0
522,male,group D,4,standard,Not completed,184,61.333333333333336
523,male,group C,5,free/reduced,Not completed,163,54.333333333333336
524,male,group C,1,standard,completed,154,51.333333333333336
525,male,group E,2,standard,Not completed,187,62.333333333333336
526,male,group C,1,free/reduced,completed,177,59.0
527,female,group C,1,free/reduced,Not completed,132,44.0
528,female,group D,4,free/reduced,Not completed,117,39.0
529,female,group C,3,standard,Not completed,206,68.66666666666667
530,female,group C,3,standard,completed,208,69.33333333333333
531,female,group C,1,standard,Not completed,154,51.333333333333336
532,male,group E,3,standard,completed,181,60.333333333333336
533,female,group E,3,standard,completed,261,87.0
534,male,group B,1,standard,completed,210,70.0
